Data as of,Start week,End Week,Group,State,Indicator,COVID Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID Deaths,Influenza Deaths,"Pneumonia, Influenza, and COVID Deaths",Footnote
05/12/2020,02/15/2020,02/15/2020,By week,Alabama,Week-ending,0,1076,0.99,74,0,,80,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/22/2020,02/22/2020,By week,Alabama,Week-ending,0,1072,1.05,67,0,,71,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/29/2020,02/29/2020,By week,Alabama,Week-ending,0,1141,0.99,62,0,14,76,
05/12/2020,03/07/2020,03/07/2020,By week,Alabama,Week-ending,0,1027,1,57,0,13,70,
05/12/2020,03/14/2020,03/14/2020,By week,Alabama,Week-ending,0,1044,0.95,56,0,,62,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/21/2020,03/21/2020,By week,Alabama,Week-ending,,1025,0.99,71,,,78,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/28/2020,03/28/2020,By week,Alabama,Week-ending,15,1013,1.06,67,,,85,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/04/2020,04/04/2020,By week,Alabama,Week-ending,42,1084,1.01,64,,,99,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/11/2020,04/11/2020,By week,Alabama,Week-ending,63,1039,0.93,78,21,,123,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/18/2020,04/18/2020,By week,Alabama,Week-ending,68,955,0.81,81,20,0,129,
05/12/2020,04/25/2020,04/25/2020,By week,Alabama,Week-ending,34,801,0.55,55,10,,80,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/02/2020,05/02/2020,By week,Alabama,Week-ending,14,547,0.12,41,,,50,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/09/2020,05/09/2020,By week,Alabama,Week-ending,,120,0,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/01/2020,02/01/2020,By week,Alaska,Week-ending,0,83,1.03,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/08/2020,02/08/2020,By week,Alaska,Week-ending,0,92,1.18,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/15/2020,02/15/2020,By week,Alaska,Week-ending,0,88,0.94,0,0,0,0,
05/12/2020,02/22/2020,02/22/2020,By week,Alaska,Week-ending,0,82,0.96,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/29/2020,02/29/2020,By week,Alaska,Week-ending,0,78,0.92,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/07/2020,03/07/2020,By week,Alaska,Week-ending,0,77,1,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/14/2020,03/14/2020,By week,Alaska,Week-ending,0,86,0.75,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/21/2020,03/21/2020,By week,Alaska,Week-ending,0,63,0.95,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/28/2020,03/28/2020,By week,Alaska,Week-ending,,76,1.05,,,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/04/2020,04/04/2020,By week,Alaska,Week-ending,,90,0.78,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/11/2020,04/11/2020,By week,Alaska,Week-ending,,68,0.69,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/18/2020,04/18/2020,By week,Alaska,Week-ending,,60,0.44,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/25/2020,04/25/2020,By week,Alaska,Week-ending,0,34,0.44,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/02/2020,05/02/2020,By week,Alaska,Week-ending,0,35,0.05,0,0,0,0,
05/12/2020,05/09/2020,05/09/2020,By week,Alaska,Week-ending,0,,0,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/01/2020,02/01/2020,By week,Arizona,Week-ending,0,1262,0.99,74,0,13,87,
05/12/2020,02/08/2020,02/08/2020,By week,Arizona,Week-ending,0,1258,1.05,78,0,10,88,
05/12/2020,02/15/2020,02/15/2020,By week,Arizona,Week-ending,0,1308,1.13,90,0,13,103,
05/12/2020,02/22/2020,02/22/2020,By week,Arizona,Week-ending,0,1334,1.12,78,0,10,88,
05/12/2020,02/29/2020,02/29/2020,By week,Arizona,Week-ending,0,1344,1.12,80,0,15,95,
05/12/2020,03/07/2020,03/07/2020,By week,Arizona,Week-ending,0,1375,1.08,72,0,13,85,
05/12/2020,03/14/2020,03/14/2020,By week,Arizona,Week-ending,0,1336,1.04,82,0,11,93,
05/12/2020,03/21/2020,03/21/2020,By week,Arizona,Week-ending,,1275,1.09,100,,,108,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/28/2020,03/28/2020,By week,Arizona,Week-ending,25,1308,1.12,115,15,,130,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/04/2020,04/04/2020,By week,Arizona,Week-ending,53,1329,1.11,118,28,,147,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/11/2020,04/11/2020,By week,Arizona,Week-ending,81,1360,1.01,141,46,,180,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/18/2020,04/18/2020,By week,Arizona,Week-ending,79,1231,0.98,101,34,,147,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/25/2020,04/25/2020,By week,Arizona,Week-ending,47,1124,0.68,83,19,0,111,
05/12/2020,05/02/2020,05/02/2020,By week,Arizona,Week-ending,14,795,0.19,46,,0,53,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/09/2020,05/09/2020,By week,Arizona,Week-ending,,222,0,14,,0,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/01/2020,02/01/2020,By week,Arkansas,Week-ending,0,677,1.03,55,0,,63,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/08/2020,02/08/2020,By week,Arkansas,Week-ending,0,667,1.04,46,0,,55,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/15/2020,02/15/2020,By week,Arkansas,Week-ending,0,686,1.03,38,0,,42,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/22/2020,02/22/2020,By week,Arkansas,Week-ending,0,690,0.95,49,0,12,61,
05/12/2020,02/29/2020,02/29/2020,By week,Arkansas,Week-ending,0,652,1.08,32,0,,38,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/07/2020,03/07/2020,By week,Arkansas,Week-ending,0,691,0.94,41,0,,50,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/14/2020,03/14/2020,By week,Arkansas,Week-ending,0,620,0.97,37,0,,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/21/2020,03/21/2020,By week,Arkansas,Week-ending,0,626,0.99,53,0,11,64,
05/12/2020,03/28/2020,03/28/2020,By week,Arkansas,Week-ending,,622,0.94,40,0,,49,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/04/2020,04/04/2020,By week,Arkansas,Week-ending,,595,1,50,,0,57,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/11/2020,04/11/2020,By week,Arkansas,Week-ending,12,608,0.96,52,,,61,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/18/2020,04/18/2020,By week,Arkansas,Week-ending,10,606,0.91,47,,0,52,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/25/2020,04/25/2020,By week,Arkansas,Week-ending,11,536,0.65,35,,0,44,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/02/2020,05/02/2020,By week,Arkansas,Week-ending,,383,0.28,25,0,0,29,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/09/2020,05/09/2020,By week,Arkansas,Week-ending,,167,0,,,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/01/2020,02/01/2020,By week,California,Week-ending,0,5669,1.01,422,0,59,481,
05/12/2020,02/08/2020,02/08/2020,By week,California,Week-ending,,5888,0.99,441,0,67,509,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/15/2020,02/15/2020,By week,California,Week-ending,0,5565,1.03,421,0,76,497,
05/12/2020,02/22/2020,02/22/2020,By week,California,Week-ending,,5778,1.01,454,0,71,526,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/29/2020,02/29/2020,By week,California,Week-ending,0,5649,1,426,0,70,496,
05/12/2020,03/07/2020,03/07/2020,By week,California,Week-ending,,5691,0.95,471,0,55,528,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/14/2020,03/14/2020,By week,California,Week-ending,,5416,1.01,418,,54,476,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/21/2020,03/21/2020,By week,California,Week-ending,40,5611,1.04,466,18,42,530,
05/12/2020,03/28/2020,03/28/2020,By week,California,Week-ending,122,5617,1.1,564,67,27,646,
05/12/2020,04/04/2020,04/04/2020,By week,California,Week-ending,280,5874,1.1,611,153,24,762,
05/12/2020,04/11/2020,04/11/2020,By week,California,Week-ending,354,5846,1.13,616,204,,770,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/18/2020,04/18/2020,By week,California,Week-ending,460,5795,0.99,678,287,,858,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/25/2020,04/25/2020,By week,California,Week-ending,320,5056,0.68,514,189,,646,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/02/2020,05/02/2020,By week,California,Week-ending,138,3535,0.22,295,81,0,352,
05/12/2020,05/09/2020,05/09/2020,By week,California,Week-ending,21,1117,0,78,17,0,82,
05/12/2020,02/01/2020,02/01/2020,By week,Colorado,Week-ending,0,788,1.04,45,0,,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/08/2020,02/08/2020,By week,Colorado,Week-ending,0,843,0.99,51,0,11,62,
05/12/2020,02/15/2020,02/15/2020,By week,Colorado,Week-ending,0,803,1.07,50,0,,57,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/22/2020,02/22/2020,By week,Colorado,Week-ending,0,879,1.05,45,0,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/29/2020,02/29/2020,By week,Colorado,Week-ending,0,842,1.04,56,0,16,72,
05/12/2020,03/07/2020,03/07/2020,By week,Colorado,Week-ending,0,817,1,51,0,,60,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/14/2020,03/14/2020,By week,Colorado,Week-ending,,811,1.1,37,0,10,49,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/21/2020,03/21/2020,By week,Colorado,Week-ending,16,885,1.06,70,,11,88,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/28/2020,03/28/2020,By week,Colorado,Week-ending,44,849,1.24,86,26,,111,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/04/2020,04/04/2020,By week,Colorado,Week-ending,123,947,1.4,150,80,,198,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/11/2020,04/11/2020,By week,Colorado,Week-ending,193,1072,1.33,179,113,,261,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/18/2020,04/18/2020,By week,Colorado,Week-ending,177,1049,1.18,150,102,0,225,
05/12/2020,04/25/2020,04/25/2020,By week,Colorado,Week-ending,149,907,0.77,115,72,,192,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/02/2020,05/02/2020,By week,Colorado,Week-ending,40,568,0.25,44,21,0,63,
05/12/2020,05/09/2020,05/09/2020,By week,Colorado,Week-ending,,181,0,,,0,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/01/2020,02/01/2020,By week,Connecticut,Week-ending,0,634,0.63,37,0,11,48,
05/12/2020,02/08/2020,02/08/2020,By week,Connecticut,Week-ending,0,413,0.59,29,0,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/15/2020,02/15/2020,By week,Connecticut,Week-ending,0,409,0.61,24,0,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/22/2020,02/22/2020,By week,Connecticut,Week-ending,0,403,0.6,20,0,,28,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/29/2020,02/29/2020,By week,Connecticut,Week-ending,0,399,0,35,0,,39,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/07/2020,03/07/2020,By week,Connecticut,Week-ending,0,,0,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/14/2020,03/14/2020,By week,Connecticut,Week-ending,0,0,0.01,0,0,0,0,
05/12/2020,03/21/2020,03/21/2020,By week,Connecticut,Week-ending,,,0.07,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/28/2020,03/28/2020,By week,Connecticut,Week-ending,39,44,0.18,13,13,0,39,
05/12/2020,04/04/2020,04/04/2020,By week,Connecticut,Week-ending,104,115,0.21,24,21,0,107,
05/12/2020,04/11/2020,04/11/2020,By week,Connecticut,Week-ending,120,134,0.05,41,34,,127,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/18/2020,04/18/2020,By week,Connecticut,Week-ending,32,35,0,,,0,32,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/25/2020,04/25/2020,By week,Connecticut,Week-ending,0,0,0,0,0,0,0,
05/12/2020,05/02/2020,05/02/2020,By week,Connecticut,Week-ending,0,0,0,0,0,0,0,
05/12/2020,05/09/2020,05/09/2020,By week,Connecticut,Week-ending,0,0,0,0,0,0,0,
05/12/2020,02/01/2020,02/01/2020,By week,Delaware,Week-ending,0,178,1.01,14,0,0,14,
05/12/2020,02/08/2020,02/08/2020,By week,Delaware,Week-ending,0,186,1.07,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/15/2020,02/15/2020,By week,Delaware,Week-ending,0,200,0.94,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/22/2020,02/22/2020,By week,Delaware,Week-ending,0,186,0.83,13,0,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/29/2020,02/29/2020,By week,Delaware,Week-ending,0,161,1.06,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/07/2020,03/07/2020,By week,Delaware,Week-ending,0,191,0.98,12,0,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/14/2020,03/14/2020,By week,Delaware,Week-ending,0,181,1.14,,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/21/2020,03/21/2020,By week,Delaware,Week-ending,0,211,0.92,16,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/28/2020,03/28/2020,By week,Delaware,Week-ending,,173,0.93,12,,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/04/2020,04/04/2020,By week,Delaware,Week-ending,,187,1,16,,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/11/2020,04/11/2020,By week,Delaware,Week-ending,20,171,0.87,15,,0,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/18/2020,04/18/2020,By week,Delaware,Week-ending,28,156,0.91,16,11,0,33,
05/12/2020,04/25/2020,04/25/2020,By week,Delaware,Week-ending,32,174,0.63,19,12,0,39,
05/12/2020,05/02/2020,05/02/2020,By week,Delaware,Week-ending,19,105,0.11,12,,0,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/09/2020,05/09/2020,By week,Delaware,Week-ending,,17,0,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/01/2020,02/01/2020,By week,District of Columbia,Week-ending,0,142,1,11,0,0,11,
05/12/2020,02/08/2020,02/08/2020,By week,District of Columbia,Week-ending,0,130,0.94,10,0,0,10,
05/12/2020,02/15/2020,02/15/2020,By week,District of Columbia,Week-ending,0,121,0.78,12,0,,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/22/2020,02/22/2020,By week,District of Columbia,Week-ending,0,102,1.19,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/29/2020,02/29/2020,By week,District of Columbia,Week-ending,0,132,0.96,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/07/2020,03/07/2020,By week,District of Columbia,Week-ending,0,117,0.88,13,0,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/14/2020,03/14/2020,By week,District of Columbia,Week-ending,0,108,1.03,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/21/2020,03/21/2020,By week,District of Columbia,Week-ending,,122,1.02,,,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/28/2020,03/28/2020,By week,District of Columbia,Week-ending,,120,1.17,18,,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/04/2020,04/04/2020,By week,District of Columbia,Week-ending,20,142,1.36,31,20,0,31,
05/12/2020,04/11/2020,04/11/2020,By week,District of Columbia,Week-ending,27,159,1.35,37,27,,38,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/18/2020,04/18/2020,By week,District of Columbia,Week-ending,36,154,1.1,46,36,0,46,
05/12/2020,04/25/2020,04/25/2020,By week,District of Columbia,Week-ending,28,130,0.42,35,28,0,35,
05/12/2020,05/02/2020,05/02/2020,By week,District of Columbia,Week-ending,,54,0.07,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/09/2020,05/09/2020,By week,District of Columbia,Week-ending,0,,0,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/01/2020,02/01/2020,By week,Florida,Week-ending,0,4419,0.98,244,0,35,279,
05/12/2020,02/08/2020,02/08/2020,By week,Florida,Week-ending,0,4383,1,286,0,34,320,
05/12/2020,02/15/2020,02/15/2020,By week,Florida,Week-ending,0,4357,1.03,273,0,26,299,
05/12/2020,02/22/2020,02/22/2020,By week,Florida,Week-ending,0,4414,1.12,272,0,33,305,
05/12/2020,02/29/2020,02/29/2020,By week,Florida,Week-ending,0,4396,1.13,267,0,33,300,
05/12/2020,03/07/2020,03/07/2020,By week,Florida,Week-ending,,4520,1.05,262,,29,292,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/14/2020,03/14/2020,By week,Florida,Week-ending,,4432,1.04,305,,24,330,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/21/2020,03/21/2020,By week,Florida,Week-ending,17,4358,1.05,357,,23,388,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/28/2020,03/28/2020,By week,Florida,Week-ending,93,4451,1.06,360,45,19,426,
05/12/2020,04/04/2020,04/04/2020,By week,Florida,Week-ending,215,4476,1.08,473,139,16,563,
05/12/2020,04/11/2020,04/11/2020,By week,Florida,Week-ending,295,4499,1.05,422,154,10,573,
05/12/2020,04/18/2020,04/18/2020,By week,Florida,Week-ending,279,4315,1.03,416,139,,560,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/25/2020,04/25/2020,By week,Florida,Week-ending,228,4130,0.73,344,115,,461,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/02/2020,05/02/2020,By week,Florida,Week-ending,57,2908,0.24,177,24,,212,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/09/2020,05/09/2020,By week,Florida,Week-ending,,970,0,56,,0,56,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/01/2020,02/01/2020,By week,Georgia,Week-ending,0,1764,0.97,87,0,,94,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/08/2020,02/08/2020,By week,Georgia,Week-ending,0,1724,0.97,93,0,10,103,
05/12/2020,02/15/2020,02/15/2020,By week,Georgia,Week-ending,0,1712,0.99,87,0,16,103,
05/12/2020,02/22/2020,02/22/2020,By week,Georgia,Week-ending,0,1685,1.09,79,0,21,100,
05/12/2020,02/29/2020,02/29/2020,By week,Georgia,Week-ending,,1784,1.04,86,,,95,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/07/2020,03/07/2020,By week,Georgia,Week-ending,,1687,1.01,81,,,90,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/14/2020,03/14/2020,By week,Georgia,Week-ending,,1690,0.98,95,,,100,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/21/2020,03/21/2020,By week,Georgia,Week-ending,29,1657,1.02,124,15,,145,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/28/2020,03/28/2020,By week,Georgia,Week-ending,79,1704,1.05,141,33,,192,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/04/2020,04/04/2020,By week,Georgia,Week-ending,173,1792,1.05,206,88,,295,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/11/2020,04/11/2020,By week,Georgia,Week-ending,160,1702,0.96,190,69,,284,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/18/2020,04/18/2020,By week,Georgia,Week-ending,152,1550,0.79,142,57,,240,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/25/2020,04/25/2020,By week,Georgia,Week-ending,114,1284,0.42,116,46,0,184,
05/12/2020,05/02/2020,05/02/2020,By week,Georgia,Week-ending,32,690,0.11,49,16,0,65,
05/12/2020,05/09/2020,05/09/2020,By week,Georgia,Week-ending,,182,0,,,0,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/01/2020,02/01/2020,By week,Hawaii,Week-ending,0,242,0.99,19,0,0,19,
05/12/2020,02/08/2020,02/08/2020,By week,Hawaii,Week-ending,0,233,1.29,19,0,0,19,
05/12/2020,02/15/2020,02/15/2020,By week,Hawaii,Week-ending,0,277,1.01,22,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/22/2020,02/22/2020,By week,Hawaii,Week-ending,0,245,1.02,17,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
